repository_language,active_repos_by_name,active_repos_by_url,lang_usage,sum_rep_size,sum_rep_forks,sum_rep_openissues,sum_rep_watchers
D,838,1180,17037,143422264,531764,143487,1122937
Rust,163,362,18015,106702070,3332311,12247256,19377194
Julia,235,474,17033,50096192,2949509,2819748,17889617
Haxe,141,178,1972,6590200,12120,4533,46305
Groovy,2424,3079,33495,546146770,162475,99552,591718
Pure Data,100,111,660,6788700,1363,2037,5298
XML,408,567,5306,55419780,386121,58663,302265
Delphi,556,676,9255,77486511,38775,19854,100237
ASP,587,653,6219,233812086,18869,23453,31676
Vala,142,174,2328,5378203,3826,9511,14248
Racket,544,686,8868,49548944,124326,53351,436764
Verilog,310,359,4080,47393921,6257,1271,21204
Processing,239,279,1320,15497363,3050,1956,15686
LiveScript,42,46,536,3097460,190,3974,479
Visual Basic,986,1070,8099,147175770,17275,21572,219317
Objective-J,112,164,5585,13722821,1018254,764607,6514571
Smalltalk,108,151,2996,57295760,7368,16334,18070
HaXe,242,379,6233,8654230,58444,72162,345829
Logtalk,6,6,356,2789524,1,1864,1970
Standard ML,137,170,1610,12246628,1308,10317,5504
Prolog,508,566,5442,34921925,13859,30342,141288
Elixir,107,169,3991,27946354,141862,45534,1420343
Nimrod,12,19,251,241342,2589,8842,13246
Coq,95,126,1603,1209824,11134,8012,25461
AutoHotkey,181,220,1275,2008962,2819,1957,6410
F#,382,489,6490,16701335,87495,48977,336836
Logos,349,396,3422,262497303,3878,4001,4446
Parrot,9,15,901,5511729,7028,24512,17806
ooc,39,46,824,2040294,379,494,1490
Xtend,13,14,198,192492,190,4310,1401
DCPU-16 ASM,26,38,678,275307,1805,2928,4156
DOT,73,80,705,40466150,1924,225,10963
Ada,98,111,1477,4228582,760,3173,1857
Scilab,44,50,666,14459900,1282,283,2634
ColdFusion,373,520,7179,52606814,148224,549604,355596
Gosu,67,72,440,5277462,263,183,727
Apex,213,255,1718,3674844,7373,5247,13087
Dylan,27,46,600,255716,3772,19709,22133
XQuery,92,112,1301,3200838,2609,13773,6690
Turing,11,15,108,981900,82,42,179
Arc,13,20,267,1043090,7761,316,73606
SuperCollider,73,83,479,2271546,296,72,1227
AppleScript,130,153,1034,984688,1802,622,12790
Kotlin,43,65,1140,1634916,3162,1239,7921
Ceylon,9,13,727,220348,3949,13226,8007
Awk,21,21,136,772692,51,204,271
Mirah,18,18,55,18963,51,22,653
Factor,21,33,1446,3540020,74595,351550,270925
Io,37,45,480,2440935,1295,2370,7712
Bro,18,21,167,67205,47,25,391
Boo,22,26,269,847076,161,451,728
Augeas,4,19,249,72172,1576,193,2462
Rebol,20,21,253,473172,309,18,1671
eC,4,5,68,28964,38,7,25
Nemerle,32,40,10786,374479646,528462,53037167,1706684
Fancy,2,2,51,44292,483,96,8551
Ioke,3,3,45,80224,0,0,51
Self,4,8,145,23366592,440,174,4607
Ecl,3,8,87,28348,487,231,1041
Monkey,11,13,81,415520,55,576,566
Max,9,9,89,4544584,0,58,114
Nu,10,10,30,82952,23,10,331
Opa,14,14,47,18320,73,36,337
ABAP,1,1,4,544,1,0,9
TXL,1,1,1,300,0,0,0
Fantom,5,5,43,20444,0,0,4
Pike,6,6,9,147112,2,0,9
Ragel in Ruby Host,2,2,3,708,120,4,772
Forth,4,4,11,43376,1,0,6
PogoScript,2,2,10,113212,0,0,0
Max/MSP,1,1,1,2412,0,0,1
